@relation MidiTracks

@attribute melody {YES,NO}
@attribute normalizedDuration numeric
@attribute numberOfNotes numeric
@attribute occupationRate numeric
@attribute polyphonyRate numeric
@attribute highestPith numeric
@attribute normHighestPitch numeric
@attribute lowestPitch numeric
@attribute normLowestPitch numeric
@attribute pitchMean numeric
@attribute normPitchMean numeric
@attribute pitchDeviation numeric
@attribute normPitchDeviation numeric
@attribute numberOfDifferentIntervals numeric
@attribute normNumberOfDifferentIntervals numeric
@attribute largestInterval numeric
@attribute normLargestInterval numeric
@attribute smallestInterval numeric
@attribute normSmallestInterval numeric
@attribute intervalMean numeric
@attribute normIntervalMean numeric
@attribute intervalMode numeric
@attribute normIntervalMode numeric
@attribute intervalDeviation numeric
@attribute normIntervalDeviation numeric
@attribute longestNote numeric
@attribute normLongestNote numeric
@attribute shortestNote numeric
@attribute normShortestNote numeric
@attribute durationMean numeric
@attribute normDurationMean numeric
@attribute durationDeviation numeric
@attribute normDurationDeviation numeric

@data
NO,?,3,0.984995,0.056766,83,0.852941,83,1,83,1,0,0,1,0,0,0,0,1,0,0.951424,0,1,0,0,4486.458333,0.380521,4000,1,4243.229167,1,243.229167,0.061633
NO,?,5,0.301001,0,74,0.588235,66,0.645833,71,0.665339,3.082207,0.240252,4,0.057692,8,0.228571,-7,0.8,-0.5,0.376605,-7,0.5625,5.408327,0.289744,5000,0.424693,1000,0.249805,2666.666667,0.623668,1699.673171,0.454526
YES,0.535714,332,0.925642,0.07602,80,0.708333,64,0.837209,72.733333,0.760034,4.753478,0.250188,14,0.142857,9,0.105263,-8,0.925,0.018127,0.332784,0,0.5,2.325409,0,2317.708333,0.378425,52.083333,0.333333,360.386691,0.403516,382.144851,0.303055
NO,0.942857,494,0.946008,0.055342,53,0.145833,28,0,40.92,0,7.342588,0.469717,28,0.342857,19,0.368421,-19,0.65,0.002028,0.278026,12,1,9.064005,0.722175,1130.208333,0.183219,57.291667,0.380952,270.423228,0.298221,251.488697,0.19944
NO,1,1853,0.989204,0,82,0.75,29,0.023256,56.714286,0.377332,13.596718,1,74,1,43,1,-45,0,-0.007559,0.245414,3,0.625,10.503776,0.876475,1786.458333,0.291096,31.25,0.142857,398.758013,0.448427,407.686943,0.323311
NO,0.892857,142,0.821792,0.180824,75,0.604167,50,0.511628,62.727273,0.520985,7.676302,0.498012,14,0.142857,13,0.210526,-7,0.95,0.092199,0.584732,-2,0.416667,4.200474,0.200951,2755.208333,0.450342,78.125,0.571429,809.484649,0.92915,661.322803,0.524453
NO,0.821429,266,0.989196,0.014855,94,1,71,1,82.777778,1,6.754057,0.419816,16,0.171429,12,0.184211,-12,0.825,-0.022642,0.194114,0,0.5,3.242329,0.098266,125,0.017979,125,1,125,0.128015,0,0
NO,0.664286,294,0.897303,0.10616,77,0.645833,64,0.837209,71.166667,0.722606,3.97562,0.184234,14,0.142857,7,0.052632,-7,0.95,0.027304,0.363998,-3,0.375,3.344692,0.109237,1260.416667,0.204623,52.083333,0.333333,217.89966,0.236747,182.157528,0.144458
NO,0.685714,29,0.743279,0.256861,46,0,40,0.27907,43,0.049692,1.802776,0,4,0,5,0,-5,1,0.214286,1,0,0.5,3.074749,0.080307,26.041667,0.001712,26.041667,0.095238,26.041667,0.012192,0,0
NO,0,478,0.945807,0.05487,88,0.875,57,0.674419,71.961538,0.741595,8.963519,0.607154,36,0.457143,28,0.605263,-31,0.35,0.027254,0.363828,-12,0,11.656388,1,776.041667,0.125,31.25,0.142857,210.9375,0.228598,138.671647,0.109972
NO,0.85,156,0.800158,0.202543,85,0.8125,59,0.72093,72.222222,0.747823,8.515056,0.569129,15,0.157143,17,0.315789,-17,0.7,0.109677,0.644184,1,0.541667,3.140922,0.087398,3963.541667,0.648973,46.875,0.285714,291.501323,0.322892,556.26812,0.441141
NO,0.821429,139,0.945982,0.054693,88,0.875,64,0.837209,76.181818,0.84242,7.333834,0.468975,18,0.2,14,0.236842,-17,0.7,-0.07971,0,1,0.541667,5.24482,0.312873,6098.958333,1,72.916667,0.52381,870.018116,1,1260.975628,1
NO,0.671429,1109,0.945951,0.055485,54,0.166667,35,0.162791,43,0.049692,5.331845,0.299227,19,0.214286,19,0.368421,-19,0.65,0,0.271127,0,0.5,10.473277,0.873206,15.625,0,15.625,0,15.625,0,0,0
YES,?,372,0.925974,0.079135,72,0.395349,57,0.366667,65.222222,0.384561,4.893937,0.21931,11,0.294118,7,0.112903,-7,0.887097,0,0.431818,0,0,2.56348,0.112074,2245.833333,0.276481,120.833333,0.294798,895.833333,0.533405,755.810823,0.304138
NO,?,121,0.993506,0.007771,81,0.604651,45,0.166667,59.5,0.266296,9.270623,0.415441,21,0.588235,19,0.306452,-28,0.548387,-0.1,0,2,0.4,7.360254,0.321788,3966.666667,0.494394,120.833333,0.294798,1648.27381,0.996786,1318.660639,0.536505
NO,?,321,0.98961,0.030996,55,0,38,0.05,46.615385,0,5.357072,0.240065,14,0.382353,10,0.16129,-10,0.83871,-0.021875,0.337358,0,0,3.029463,0.132447,3995.833333,0.498087,245.833333,0.641618,1452.239583,0.876061,1191.214506,0.48389
NO,?,967,0.98961,0,81,0.604651,57,0.366667,68.764706,0.457776,7.288423,0.326614,26,0.735294,13,0.209677,-16,0.741935,0.008282,0.46758,3,0.6,5.205501,0.227583,2245.833333,0.276481,120.833333,0.294798,861.594203,0.512319,640.02349,0.256336
NO,?,1046,0.98961,0,98,1,35,0,56.5,0.204293,22.315113,1,35,1,62,1,-62,0,0.052632,0.659091,0,0,22.873024,1,62.5,0,14.583333,0,29.6875,0,19.115364,0
NO,?,77,0.983117,0.01816,81,0.604651,69,0.566667,76.166667,0.610758,3.890873,0.17436,9,0.235294,12,0.193548,-7,0.887097,0.131579,1,0,0,3.791757,0.165774,2757.291667,0.341248,120.833333,0.294798,887.268519,0.52813,1014.103,0.410771
NO,?,1047,0.98961,0,79,0.55814,57,0.366667,68,0.441971,5.623611,0.252009,30,0.852941,14,0.225806,-16,0.741935,-0.001912,0.423562,3,0.6,5.308998,0.232107,2245.833333,0.276481,120.833333,0.294798,796.064815,0.471964,606.907055,0.242664
NO,?,8,0.56753,0.450652,95,0.930233,95,1,95,1,0,0,1,0,0,0,0,1,0,0.431818,0,0,0,0,500,0.055402,375,1,437.5,0.251146,44.194174,0.010354
NO,?,5,0.514283,0.486994,66,0.255814,64,0.483333,65,0.379968,0.707107,0.031687,3,0.058824,2,0.032258,-2,0.967742,0,0.431818,0,0,1.414214,0.061829,495.833333,0.054874,245.833333,0.641618,370.833333,0.21009,88.388348,0.028599
NO,?,171,0.14545,0,69,0.325581,57,0.366667,63.428571,0.34749,4.030496,0.180617,18,0.5,10,0.16129,-10,0.83871,0,0.431818,5,1,5.90015,0.257952,745.833333,0.086532,120.833333,0.294798,395.833333,0.225486,215.058132,0.080893
NO,?,488,0.807791,0.192858,79,0.55814,59,0.4,68.714286,0.456734,6.329394,0.283637,25,0.705882,15,0.241935,-16,0.741935,-0.014374,0.36975,3,0.6,5.719468,0.250053,7959.375,1,120.833333,0.294798,1653.492647,1,2441.359881,1
YES,0,323,0.942284,0.061402,74,0.763158,59,1,66.727273,1,4.672763,0,13,0.014085,12,0,-5,1,-0.021739,0.475257,0,0.294118,2.174705,0,3744.791667,0.496533,41.666667,0.454545,307.420267,0.41389,391.334639,0.333791
NO,0,219,0.800084,0.202739,74,0.763158,54,0.848485,63,0.882752,5.454356,0.077869,14,0.028169,20,0.222222,-8,0.921053,-0.059633,0,0,0.294118,2.759658,0.037752,4031.25,0.534674,72.916667,1,382.194562,0.519952,616.25455,0.525638
NO,0.881119,522,0.979991,0.048512,45,0,26,0,34.9375,0,5.436782,0.076118,16,0.056338,15,0.083333,-12,0.815789,-0.015355,0.555324,0,0.294118,3.615354,0.092977,1057.291667,0.138696,36.458333,0.363636,292.285008,0.392422,172.354271,0.14701
NO,0.979021,1720,0.979998,0,83,1,28,0.060606,50.025641,0.474622,14.709995,1,83,1,48,1,-43,0,-0.011635,0.601985,12,1,17.669379,1,2520.833333,0.333564,20.833333,0.090909,579.991704,0.800513,506.412044,0.431947
NO,0.34965,598,0.937347,0,69,0.631579,47,0.636364,58.5,0.741197,5.884301,0.120704,25,0.183099,19,0.194444,-19,0.631579,0.020101,1,-3,0.117647,6.02504,0.248494,2786.458333,0.368932,41.666667,0.454545,533.032407,0.733904,490.47307,0.418352
NO,0.769231,414,0.979982,0.065735,62,0.447368,38,0.363636,47.823529,0.405351,6.354575,0.167557,18,0.084507,12,0,-12,0.815789,-0.01937,0.504964,0,0.294118,5.55009,0.217842,7526.041667,1,36.458333,0.363636,720.631545,1,1172.394511,1
NO,1,125,0.778328,0.221959,74,0.763158,57,0.939394,64.8,0.939374,5.095096,0.042077,12,0,14,0.055556,-6,0.973684,-0.040323,0.242187,-2,0.176471,4.363335,0.141251,3713.541667,0.492372,31.25,0.272727,463.605967,0.635428,674.457006,0.575282
NO,0.356643,562,0.989976,0.010338,52,0.184211,35,0.272727,43.285714,0.262607,5.547568,0.087156,20,0.112676,17,0.138889,-17,0.684211,-0.005348,0.680836,-5,0,5.004273,0.182616,15.625,0,15.625,0,15.625,0,0,0
YES,0.968486,426,0.886471,0.114209,75,0.603774,55,0.491228,65.083333,0.544207,5.589549,0.451755,17,0.390244,12,0.413793,-12,0.647059,0.028235,0.129412,0,0.705882,3.078449,0.289945,1744.791667,0.871053,10.416667,0,252.374387,0.185786,203.462385,0.320115
NO,0.9456,459,0.975694,0,63,0.377358,50,0.403509,56.5,0.387195,2.791356,0.225601,20,0.463415,10,0.344828,-10,0.705882,-0.028384,0.052203,5,1,5.503994,0.518396,104.166667,0.042105,72.916667,0.11215,87.5,0.053493,11.831059,0.018614
NO,1,402,0.775277,0.22604,43,0,27,0,35.333333,0,5.18545,0.419096,14,0.317073,12,0.413793,-12,0.647059,0.004988,0.09771,0,0.705882,2.559998,0.241114,1979.166667,0.989474,62.5,0.093458,224.626068,0.163521,329.148704,0.517862
NO,0.9456,873,0.884189,0,63,0.377358,50,0.403509,56.5,0.387195,2.791356,0.225601,20,0.463415,10,0.344828,-10,0.705882,-0.00344,0.086218,3,0.882353,5.303083,0.499473,104.166667,0.042105,88.541667,0.140187,97.005208,0.061119,7.336867,0.011543
NO,0.888203,76,0.836825,0.174803,92,0.924528,77,0.877193,85.222222,0.912602,4.893937,0.395535,18,0.414634,10,0.344828,-10,0.705882,-0.066667,0,-4,0.470588,5.167419,0.486695,1994.791667,0.997368,567.708333,1,1267.113095,1,476.097461,0.749062
NO,0,8,0.535751,0,96,1,84,1,90,1,4.242641,0.342896,3,0.04878,12,0.413793,-12,0.647059,0,0.090909,0,0.705882,9.071147,0.854369,166.666667,0.073684,166.666667,0.280374,166.666667,0.117015,0,0
NO,0.950232,83,0.611784,0.399637,80,0.698113,65,0.666667,72.7,0.683537,4.9,0.396025,11,0.243902,15,0.517241,-12,0.647059,-0.012195,0.074279,2,0.823529,3.458795,0.325768,2000,1,88.541667,0.140187,438.112745,0.33482,492.993321,0.775645
NO,0.466806,6,0.625159,0.375689,50,0.132075,50,0.403509,50,0.268293,0,0,1,0,0,0,0,1,0,0.090909,0,0.705882,0,0,20.833333,0,20.833333,0.018692,20.833333,0,0,0
NO,0.265643,136,0.970558,0,79,0.679245,50,0.403509,63.6,0.517073,8.860399,0.71611,20,0.463415,17,0.586207,-14,0.588235,0.140741,0.282828,-12,0,10.61736,1,494.791667,0.239474,104.166667,0.168224,237.54529,0.173887,141.995794,0.223407
NO,0.965852,2426,0.988637,0.011836,64,0.396226,28,0.017544,46.9,0.211585,12.372954,1,42,1,29,1,-34,0,-0.002887,0.086973,0,0.705882,10.428766,0.982237,93.75,0.036842,20.833333,0.018692,44.270833,0.018806,27.354082,0.043037
NO,0.685769,93,0.749927,0.251604,72,0.54717,58,0.54386,64.666667,0.536585,5.022173,0.405899,7,0.146341,12,0.413793,-12,0.647059,0.152174,0.298419,2,0.823529,8.365216,0.787881,911.458333,0.45,78.125,0.121495,186.755952,0.133134,210.091697,0.330545
NO,1,4,0.418484,0.584297,72,0.54717,70,0.754386,71,0.652439,0.707107,0.057149,2,0.02439,2,0.068966,-2,0.941176,0.666667,1,2,0.823529,1.885618,0.177598,1979.166667,0.989474,494.791667,0.869159,878.90625,0.688507,635.59141,1
NO,0.950504,83,0.611729,0.399661,74,0.584906,62,0.614035,67.625,0.590701,3.966658,0.320591,9,0.195122,5,0.172414,-5,0.852941,-0.012195,0.074279,2,0.823529,2.751912,0.25919,1994.791667,0.997368,88.541667,0.140187,529.761905,0.408358,580.020316,0.912568
NO,1,920,0.983868,0,65,0,36,0,51.807692,0,8.494429,1,47,1,28,1,-28,0,0.007617,1,0,1,10.356903,1,3958.333333,1,83.333333,1,359.865196,1,645.046526,1
YES,0,1033,0.983479,0,86,1,62,1,74.227273,1,7.031952,0,21,0,12,0,-12,1,0.006783,0,-2,0,3.369516,0,1116.666667,0,20.833333,0,274.312431,0,228.748838,0
NO,0.700839,69,0.971016,0.08514,43,0,33,0,38,0,2.44949,0,10,0,8,0,-9,1,0,0.55322,0,0.076923,4.743416,0.321419,3916.666667,0.964286,191.666667,0.336449,2041.666667,0.805489,1659.497079,1
NO,0.954334,158,0.971252,0,71,0.666667,50,0.459459,60.421053,0.573918,6.141454,0.426926,27,0.586207,14,0.272727,-17,0.619048,0,0.55322,12,1,8.368123,0.83364,3916.666667,0.964286,483.333333,0.990654,2418.253968,1,1383.933507,0.736771
NO,1,110,0.770296,0,71,0.666667,50,0.459459,60.352941,0.572174,6.342584,0.450184,26,0.551724,20,0.545455,-16,0.666667,-0.073394,0,4,0.384615,9.545359,1,3916.666667,0.964286,487.5,1,1876.851852,0.72036,1263.865401,0.622077
NO,0.989748,524,0.971285,0,78,0.833333,35,0.054054,55.73913,0.454073,11.097267,1,39,1,30,1,-30,0,0.059273,1,0,0.076923,8.68034,0.877761,3958.333333,1,66.666667,0.056075,948.22695,0.240716,1524.665638,0.871204
YES,0,429,0.977356,0,85,1,70,1,77.066667,1,4.43421,0.229506,13,0.103448,15,0.318182,-9,1,-0.016355,0.429941,-1,0,2.468912,0,2791.666667,0,41.666667,0,482.183908,0,612.638186,0
NO,1,634,0.986547,0,64,0,36,0,50.521739,0,8.875318,0,46,1,25,1,-25,0,0.004739,1,12,1,11.646382,1,3000,1,62.5,1,608.867521,1,829.417981,1
YES,0,486,0.98608,0.014303,87,1,48,1,68.230769,1,10.892156,1,23,0,24,0,-12,1,-0.049485,0,-2,0,3.969682,0,2295.833333,0,4.166667,0,502.546296,0,542.597145,0
NO,1,1066,0.980132,0.020695,74,0,43,0,61.176471,0,8.493841,1,24,1,12,?,-17,0,-0.011268,0,-3,0,6.169733,1,916.666667,0,87.5,1,185.634328,0,183.511734,0
YES,0,729,0.979384,0,83,1,66,1,73.466667,1,5.004887,0,14,0,12,?,-5,1,-0.005495,1,-2,1,2.806482,0,1029.166667,1,16.666667,0,225.18622,1,191.918415,1
NO,1,339,0.989307,0.013327,55,0,26,0,39.095238,0,7.873432,0.63018,22,0.307692,14,0.444444,-13,0.821429,0.035503,0.639257,0,0.636364,4.646553,0.202001,960.416667,0.219293,10.416667,0.018692,459.691061,0.18863,307.558535,0.261551
NO,0.9841,123,0.731352,0,98,1,79,1,88.692308,1,5.689188,0.334072,22,0.307692,19,0.722222,-10,0.928571,0,0.403759,-3,0.363636,6.556188,0.410471,3767.708333,1,447.916667,1,1771.492616,1,1150.572719,1
NO,0.985804,90,0.565015,0.437352,79,0.55814,55,0.54717,67.529412,0.573304,6.634293,0.462195,22,0.307692,16,0.555556,-17,0.678571,0.089888,1,-2,0.454545,5.250234,0.267903,1395.833333,0.340382,18.75,0.037383,396.833882,0.149752,307.878679,0.261832
NO,0.9841,123,0.731352,0,98,1,79,1,88.692308,1,5.689188,0.334072,24,0.384615,19,0.722222,-14,0.785714,0,0.403759,-3,0.363636,6.459204,0.399883,3767.708333,1,447.916667,1,1771.492616,1,1150.572719,1
